From	To	mean	median	l95hpd	h95hpd	BAYES_FACTOR	POSTERIOR PROBABILITY
Eastern	Franklin 	0.978724344	0.673560093	1.59E-06	2.961180466	1.15912817	0.236751472
Eastern	King 	0.976946603	0.670255062	0.000301053	2.941830634	1.132196081	0.232529719
Eastern	Pierce 	1.005940682	0.696258016	6.89E-05	2.993461777	1.124923608	0.231381698
Eastern	Skagit 	1.003356174	0.692384645	0.000209238	3.018433494	1.137605862	0.233381476
Eastern	Snohomish 	0.990665502	0.688834967	0.000155737	2.916140114	1.127501675	0.23178906
Eastern	Spokane 	0.987605126	0.681878248	1.42E-05	2.968859661	1.105558671	0.228307966
Eastern	Western 	1.003307992	0.688830709	4.00E-06	3.004212326	1.12937835	0.232085324
Eastern	Whatcom 	1.001236315	0.691693882	0.000590729	2.986421366	1.136193456	0.233159279
Eastern	Yakima 	1.000198038	0.689837822	3.96E-05	2.983110084	1.124689373	0.231344665
Franklin	King 	1.003833198	0.701472471	3.54E-05	2.992416261	1.186359855	0.240973225
Franklin	Pierce 	0.99379485	0.687559293	6.23E-05	2.971898269	1.205651398	0.243935859
Franklin	Skagit 	1.009398421	0.697724639	0.000136732	3.052284731	1.182039993	0.240306633
Franklin	Snohomish 	1.000882188	0.70039477	8.69E-05	2.96933325	1.190206106	0.241565752
Franklin	Spokane 	0.994864812	0.690614316	2.32E-05	2.975808669	1.17653119	0.239454875
Franklin	Western 	0.997056247	0.694786818	4.45E-05	3.008926222	1.146806495	0.23482576
Franklin	Whatcom 	0.999880262	0.702757284	9.54E-05	2.983411004	1.178924805	0.239825205
Franklin	Yakima 	0.985208503	0.677499858	6.71E-05	2.978753475	1.170796014	0.238566085
King	Pierce 	0.994447221	0.696384636	2.81E-05	2.925715565	1.168887263	0.238269822
King	Skagit 	0.998359052	0.692219281	0.000180089	2.991360816	1.175335257	0.239269711
King	Snohomish 	1.011927313	0.697244434	3.65E-05	3.002591862	1.155093095	0.236121912
King	Spokane 	0.986091416	0.678690421	0.000698047	2.965906339	1.162931973	0.237343999
King	Western 	1.012184539	0.705295203	0.000253659	2.997681323	1.157228482	0.236455209
King	Whatcom 	1.013970341	0.700711844	0.0001131	3.056704623	1.145861242	0.234677628
King	Yakima 	0.975270087	0.673287539	3.16E-05	2.936584415	1.192131486	0.241862015
Pierce	Skagit 	0.987509086	0.68368465	0.000146425	2.937968188	1.160316224	0.236936637
Pierce	Snohomish 	0.996509715	0.696899989	0.00018664	2.951044013	1.14373576	0.234344332
Pierce	Spokane 	0.993636445	0.685098801	0.000116485	2.990539423	1.171750947	0.238714217
Pierce	Western 	1.00793938	0.687023234	4.76E-05	3.014656964	1.146570147	0.234788727
Pierce	Whatcom 	0.993904165	0.681120314	4.69E-05	3.010957111	1.19960657	0.243010036
Pierce	Yakima 	1.016993356	0.710078856	0.000351314	3.024449094	1.196469099	0.242528608
Skagit	Snohomish 	0.990080318	0.69100529	2.32E-05	2.950810148	1.164836092	0.237640262
Skagit	Spokane 	0.99956772	0.691526231	0.000250482	3.004557657	1.205409321	0.243898826
Skagit	Western 	0.986105464	0.689514895	0.000204448	2.933531797	1.164597996	0.237603229
Skagit	Whatcom 	1.012380449	0.699977047	0.000110896	3.00883366	1.19960657	0.243010036
Skagit	Yakima 	0.990351887	0.684440118	0.000376681	2.979149479	1.147279258	0.234899826
Snohomish	Spokane 	1.013371627	0.706753973	0.000148645	3.045503198	1.206135624	0.244009925
Snohomish	Western 	0.983791958	0.6842922	3.37E-05	2.955247819	1.191890732	0.241824982
Snohomish	Whatcom 	1.015836303	0.702682848	0.000103915	3.046848326	1.237324678	0.248750139
Snohomish	Yakima 	1.005954105	0.702210837	6.82E-05	3.01463307	1.189484476	0.241454653
Spokane	Western 	1.023904556	0.713239681	0.000134565	3.057379622	1.236589181	0.24863904
Spokane	Whatcom 	1.011892864	0.694584296	5.57E-05	3.029539453	1.17724903	0.239565974
Spokane	Yakima 	0.996206597	0.684317648	0.000119935	2.980494312	1.221681107	0.246380032
Western	Whatcom 	0.993230049	0.687944552	1.29E-06	2.995354624	1.224606777	0.246824427
Western	Yakima 	0.999684443	0.681461027	0.000117376	3.01898926	1.233159735	0.248120579
Whatcom	Yakima 	0.992345644	0.683953692	4.73E-05	3.00253963	1.247152134	0.250231456
Franklin	Eastern 	1.007250686	0.701187963	0.000407449	2.985374146	1.356074029	0.266266711
King	Eastern 	1.006383095	0.698066778	0.000112507	3.03862894	1.352221208	0.265711217
Pierce	Eastern 	0.989282761	0.683709456	7.71E-05	2.958223626	1.373354763	0.268747917
Skagit	Eastern 	0.996616387	0.687113685	4.20E-05	2.99029755	1.406959055	0.273525164
Snohomish	Eastern 	1.00909923	0.711950416	8.00E-06	2.997536189	1.381909346	0.269970003
Spokane	Eastern 	1.002836256	0.692565824	3.88E-05	3.003344215	1.442337044	0.278487575
Western	Eastern 	0.990297206	0.684810803	3.59E-07	2.953043727	1.44819193	0.2793023
Whatcom	Eastern 	1.000942601	0.692070422	2.53E-05	3.013701623	1.475511186	0.283079658
Yakima	Eastern 	0.984359061	0.681834885	8.03E-05	2.955364033	1.44819193	0.2793023
King	Franklin 	0.996587057	0.694045296	7.44E-05	2.997624406	1.174857046	0.239195645
Pierce	Franklin 	1.002314621	0.694682314	0.000278383	2.978342363	1.166979996	0.237973558
Skagit	Franklin 	0.990903668	0.680091944	0.000193659	2.981259885	1.198640769	0.242861904
Snohomish	Franklin 	0.993186144	0.686025744	2.82E-05	2.985936357	1.212924763	0.245046847
Spokane	Franklin 	0.994033228	0.683769637	1.59E-05	2.99168923	1.228268723	0.247379921
Western	Franklin 	0.9937889	0.682381916	1.96E-05	3.013068746	1.248383297	0.25041662
Whatcom	Franklin 	1.005660418	0.7036823	5.38E-05	2.977031303	1.244199822	0.249787061
Yakima	Franklin 	0.990487783	0.68848701	0.000297189	2.95543629	1.223143511	0.246602229
Pierce	King 	0.975204843	0.663658921	0.000187449	2.940589098	1.177009727	0.239528941
Skagit	King 	1.004133694	0.699149319	1.63E-06	3.007615733	1.168171864	0.238158723
Snohomish	King 	0.996116034	0.686020247	5.91E-05	2.982929763	1.219976059	0.246120801
Spokane	King 	0.979835191	0.664568619	3.73E-05	3.007614303	1.179643344	0.239936303
Western	King 	1.011212273	0.700199571	2.15E-05	3.056213561	1.21681265	0.245639373
Whatcom	King 	0.989792832	0.683516799	6.94E-06	2.975691098	1.220463096	0.246194867
Yakima	King 	1.004646778	0.691292149	4.72E-05	3.02659377	1.225826825	0.247009592
Skagit	Pierce 	0.991586808	0.689667171	7.75E-05	2.978000938	1.194299339	0.242195312
Snohomish	Pierce 	1.008336416	0.702697167	2.16E-05	2.992136939	1.207588871	0.244232122
Spokane	Pierce 	1.022105421	0.72046194	3.35E-05	3.024343311	1.242724978	0.249564863
Western	Pierce 	0.991930129	0.690824978	4.50E-05	2.948067187	1.258501824	0.25193497
Whatcom	Pierce 	0.993962872	0.684200842	1.03E-05	2.945508163	1.241987883	0.249453764
Yakima	Pierce 	1.009691827	0.709098021	2.15E-05	2.996891521	1.225338734	0.246935526
Snohomish	Skagit 	1.017063948	0.708874462	0.000108405	3.023449134	1.219489118	0.246046736
Spokane	Skagit 	0.99027299	0.681784533	0.000134246	2.957559628	1.250107948	0.250675851
Western	Skagit 	0.993552278	0.687965713	0.000262185	2.969278266	1.228757391	0.247453987
Whatcom	Skagit 	0.997492217	0.694292459	0.000166536	2.962560196	1.226315013	0.247083657
Yakima	Skagit 	1.011427602	0.711880273	9.92E-05	2.988544033	1.224850739	0.24686146
Spokane	Snohomish 	0.995333278	0.682764614	0.000123197	3.023273102	1.23781513	0.248824205
Western	Snohomish 	0.997375609	0.689529504	4.33E-05	2.98609087	1.170557339	0.238529052
Whatcom	Snohomish 	1.001262874	0.699866054	0.000238463	2.987627406	1.204441249	0.243750694
Yakima	Snohomish 	1.020691704	0.717649094	0.000106573	3.044532664	1.229001761	0.24749102
Western	Spokane 	1.000835427	0.689563104	0.000116103	3.029133345	1.223143511	0.246602229
Whatcom	Spokane 	1.003297601	0.687074173	4.74E-05	3.021576285	1.201539306	0.243306299
Yakima	Spokane 	1.012676473	0.704315252	0.000218807	3.028294464	1.232914956	0.248083546
Whatcom	Western 	1.005474524	0.698708921	1.90E-05	2.989523216	1.236098971	0.248564974
Yakima	Western 	0.9872616	0.680065066	5.29E-05	2.994177038	1.271891508	0.253934748
Yakima	Whatcom 	1.017548095	0.699156534	3.05E-05	3.077314154	1.212924763	0.245046847